Latitude,Longitude,Altitude
32.1688570069758,34.813653609570586,67.16203436814249
32.16887497242394,34.81366919670886,57.47221266850829
32.16886572625077,34.813655469716856,59.026705858297646
32.168862383237496,34.81358900259631,77.9782041972503
32.16892206526991,34.813556022728235,72.90597280114889
32.16882562709957,34.813704121850755,68.0683776261285
32.16882639944225,34.813619775898644,66.01921047270298
32.168937165529094,34.81343474110138,73.98195635806769
32.16881267101164,34.81359790928102,64.54956431593746
32.168859259289974,34.81353065949926,77.34601945243776
32.1687844675168,34.81358818147542,46.7495394423604
32.16894539194336,34.81344598597314,76.10156650282443
32.1688534472329,34.81358172436198,67.41103545576334
32.168829471088344,34.81356001595775,46.9445033269003
32.16878410579681,34.81344022946361,59.79400177113712
32.16881076407595,34.813494780323666,47.42843071836978
32.16876204158702,34.81342881480925,74.3717116350308
32.16875588295637,34.81344552643934,53.40946671273559
32.16879482320029,34.813402322657076,55.896854191087186
32.16874314462731,34.81341191636143,48.72747051529586
32.16870768306249,34.8134643909295,63.55933908838779
32.168762766999954,34.8134070862471,74.20935690868646
32.168781479392244,34.81337136202358,43.157102612778544
32.16883843398695,34.81330520811356,49.100886915810406
32.168710574550495,34.81332779450366,52.712374513968825
32.168792108486294,34.813293226702214,53.02396967820823
32.16878128019178,34.81320362443374,52.7720440691337
32.164076999869344,34.82047872762112,-1491.9044994777068
32.1688694394998,34.81310212589781,64.68469274695963
32.16401397466579,34.82045916164978,-1464.177747762762
32.163952586148284,34.82049142713186,-1469.2433819305152
32.16877385443701,34.81333555037034,51.57051909342408
32.16880781122299,34.8134232203145,65.25933570507914
32.168779376123325,34.81335927208369,47.567990923300385
32.168806281265574,34.813319843319334,49.54723418504
32.16874310816804,34.81355511749689,79.37697595916688
32.16879405153753,34.81342546518939,55.256830126047134
32.168686929796884,34.81355727885552,83.24563731532544
32.16879389561281,34.813529826414545,76.18285611178726
32.16883582755591,34.81338726547664,39.02473988663405
32.1688328423949,34.813483074502365,57.736800451762974
32.168834651086975,34.81348643106933,57.499058621004224
32.1688149984079,34.81354156055174,62.67264931090176
32.16884053904902,34.813545665513956,48.09214145038277
32.168864470143944,34.81359897167985,59.31374757364392
32.1688658677753,34.813656060501366,86.97972762212157
32.16410688624419,34.82089662754028,-1445.7588376486674
32.164057963001014,34.82081822707862,-1463.948371569626
32.168832109212204,34.81359242544334,40.44274044595659
32.16709694156141,34.80842757772782,-2882.2033142000437
32.168871187246936,34.8135592011651,77.35311771556735
32.16883349004902,34.81363383885153,53.71198248397559
32.168916186822926,34.80571577883012,-2284.4292377373204
32.168849995683026,34.81367230153802,57.94487525802106
32.16892251849788,34.80580042544075,-2273.6758693186566
32.168892254559964,34.80570712648068,-2282.2238441249356
32.168856917963886,34.81364140749834,47.13390225172043
