Pos.X,Pos.Y,Pos.Z,Latitude,Longitude,Altitude
4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
4436885.833662578,3085286.083532789,3376328.152297502,32.16887497242394,34.81366919670886,57.47221266850829
4436888.101357078,3085286.0834263265,3376328.112023597,32.16886572625077,34.813655469716856,59.026705858297646
4436905.013344219,3085290.2075800793,3376337.888311274,32.168862383237496,34.81358900259631,77.9782041972503
4436900.371228984,3085283.1907652915,3376340.789964433,32.16892206526991,34.813556022728235,72.90597280114889
4436893.708946834,3085295.5720964237,3376329.161959028,32.16882562709957,34.813704121850755,68.0683776261285
4436896.789295302,3085288.0241544493,3376328.1434478364,32.16882639944225,34.813619775898644,66.01921047270298
4436906.917860921,3085273.8098938116,3376342.780256957,32.168937165529094,34.81343474110138,73.98195635806769
4436897.610866088,3085286.083346499,3376326.0723348623,32.16881267101164,34.81359790928102,64.54956431593746
4436907.867103112,3085285.4893563953,3376337.258488951,32.168859259289974,34.81353065949926,77.34601945243776
4436887.131227817,3085277.6785619166,3376313.9479464423,32.1687844675168,34.81358818147542,46.7495394423604
4436907.386660718,3085275.4277241817,3376344.6809656643,32.16894539194336,34.81344598597314,76.10156650282443
4436898.494511637,3085284.838434494,3376331.423380017,32.1688534472329,34.81358172436198,67.41103545576334
4436886.601947627,3085274.074785981,3376318.276099026,32.168829471088344,34.81356001595775,46.9445033269003
4436904.181289275,3085272.537493406,3376320.85906223,32.16878410579681,34.81344022946361,59.79400177113712
4436891.357861059,3085269.887456814,3376316.7777783563,32.16881076407595,34.813494780323666,47.42843071836978
4436915.996618081,3085279.4421214922,3376326.5493446398,32.16876204158702,34.81342881480925,74.3717116350308
4436900.826995322,3085270.8135620994,3376314.810641538,32.16875588295637,34.81344552643934,53.40946671273559
4436902.994574339,3085267.357456293,3376319.790174081,32.16879482320029,34.813402322657076,55.896854191087186
4436900.000418283,3085266.377574184,3376311.1221677964,32.16874314462731,34.81341191636143,48.72747051529586
4436909.201469418,3085278.8040963705,3376315.6901875315,32.16870768306249,34.8134643909295,63.55933908838779
4436917.018668087,3085277.656576749,3376326.5309972474,32.168762766999954,34.8134070862471,74.20935690868646
4436896.454728509,3085259.2530433573,3376311.7547923946,32.168781479392244,34.81337136202358,43.157102612778544
4436901.387024742,3085255.0828649593,3376320.265512328,32.16883843398695,34.81330520811356,49.100886915810406
4436908.8783863485,3085262.886859357,3376310.1865273807,32.168710574550495,34.81332779450366,52.712374513968825
4436907.004174514,3085257.612366665,3376318.0057840096,32.168792108486294,34.813293226702214,53.02396967820823
4436912.178858394,3085250.916918873,3376316.855234146,32.16878128019178,34.81320362443374,52.7720440691337
4435674.912829858,3085226.1931528044,3375052.96495408,32.164076999869344,34.82047872762112,-1491.9044994777068
4436921.65001365,3085245.842382958,3376331.4729807,32.1688694394998,34.81310212589781,64.68469274695963
4435698.288785129,3085240.2046934403,3375061.8102832665,32.16401397466579,34.82045916164978,-1464.177747762762
4435696.005287743,3085242.3227834417,3375053.352337556,32.163952586148284,34.82049142713186,-1469.2433819305152
4436904.599841433,3085260.80273013,3376315.5184899447,32.16877385443701,34.81333555037034,51.57051909342408
4436907.746408283,3085273.0624967683,3376325.994053057,32.16880781122299,34.8134232203145,65.25933570507914
4436900.2731612995,3085260.5193230207,3376313.9057883387,32.168779376123325,34.81335927208369,47.567990923300385
4436902.467681647,3085257.5156404497,3376317.48507407,32.168806281265574,34.813319843319334,49.54723418504
4436913.591712392,3085292.2798842657,3376327.436987953,32.16874310816804,34.81355511749689,79.37697595916688
4436901.340996519,3085268.8662908934,3376319.3769816873,32.16879405153753,34.81342546518939,55.256830126047134
4436918.8870681925,3085296.2104150597,3376324.223388228,32.168686929796884,34.81355727885552,83.24563731532544
4436910.2719572,3085287.0659084935,3376330.503681775,32.16879389561281,34.813529826414545,76.18285611178726
4436890.092069082,3085256.6557016107,3376314.656153393,32.16883582755591,34.81338726547664,39.02473988663405
4436898.082062759,3085273.2184509537,3376324.338543687,32.1688328423949,34.813483074502365,57.736800451762974
4436897.648420878,3085273.302522196,3376324.3817429207,32.168834651086975,34.81348643106933,57.499058621004224
4436899.227929252,3085280.7342926003,3376325.291502346,32.1688149984079,34.81354156055174,62.67264931090176
4436887.635779135,3085273.1450634026,3376319.926036007,32.16884053904902,34.813545665513956,48.09214145038277
4436891.404057229,3085281.889368435,3376328.1469421494,32.168864470143944,34.81359897167985,59.31374757364392
4436907.489288712,3085299.633115195,3376343.0079541467,32.1688658677753,34.813656060501366,86.97972762212157
